crop,state,season,soil_type,rainfall_mm,temperature_c,humidity_pct,fertilizer_kg_ha,area_hectares,yield_kg_per_ha
Sugarcane,Madhya Pradesh,Rabi,Laterite,1582.8,29.5,77.3,264.2,88.95,3850.2
Maize,Madhya Pradesh,Rabi,Alluvial,1879.6,22.5,54.6,325.8,5.97,3317.4
Soybean,Haryana,Rabi,Black,1118.5,16.7,30.5,138.9,18.07,2339.8
Cotton,Bihar,Kharif,Black,503.4,19.4,30.6,317.3,55.1,3011.7
Maize,Punjab,Zaid,Alluvial,1307.4,39.2,59.9,290.8,48.37,2958.1
Sugarcane,Haryana,Rabi,Laterite,1167.9,33.5,61.7,163.0,5.06,3073.9
Sugarcane,Punjab,Kharif,Black,2207.5,21.7,31.5,240.9,1.22,3501.8
Maize,Punjab,Zaid,Laterite,836.8,16.8,74.7,101.5,98.81,2441.8
Sugarcane,Punjab,Zaid,Laterite,2426.8,33.6,49.1,208.4,66.05,3262.1
Maize,Maharashtra,Kharif,Red,2407.9,30.5,66.4,358.4,36.86,3751.1
Wheat,Karnataka,Kharif,Alluvial,844.8,25.9,49.6,197.4,47.31,2957.3
Maize,Punjab,Rabi,Laterite,1065.7,24.8,40.9,343.8,27.02,2925.6
Groundnut,Maharashtra,Zaid,Sandy,2270.2,20.9,56.5,256.6,34.81,3709.8
Maize,Bihar,Zaid,Alluvial,2426.6,33.1,45.1,117.2,65.08,3513.9
Sugarcane,Haryana,Kharif,Black,1275.6,41.2,64.8,253.4,88.34,2379.0
Groundnut,Karnataka,Zaid,Red,1006.2,19.7,42.9,227.1,18.82,2684.0
Sugarcane,Andhra Pradesh,Rabi,Black,1457.4,31.1,63.0,189.5,84.12,3182.7
Rice,Haryana,Zaid,Black,1813.1,26.5,40.2,91.9,12.59,3074.0
Rice,Karnataka,Kharif,Alluvial,901.6,27.1,73.6,195.8,21.89,3092.1
Groundnut,Andhra Pradesh,Kharif,Black,1920.2,21.9,79.0,75.5,4.2,3117.1
Wheat,Haryana,Rabi,Laterite,413.6,37.3,37.2,84.6,14.51,2023.4
Rice,Karnataka,Rabi,Black,408.4,28.1,60.4,195.6,91.77,3022.1
Maize,Haryana,Zaid,Red,1149.8,29.7,34.6,156.9,46.21,3031.2
Sugarcane,Haryana,Zaid,Red,1077.6,23.2,68.9,373.9,8.23,3337.3
Rice,Andhra Pradesh,Kharif,Sandy,994.4,19.9,47.2,181.5,95.99,2932.7
Rice,Haryana,Rabi,Red,1380.2,17.3,64.3,315.3,87.96,2691.1
Wheat,Haryana,Rabi,Black,1005.6,34.3,63.6,235.6,75.59,2966.4
Groundnut,Andhra Pradesh,Rabi,Red,723.0,20.3,90.1,296.4,93.38,3197.3
Groundnut,Bihar,Zaid,Alluvial,980.8,33.6,65.7,141.0,22.4,2638.8
Soybean,Punjab,Rabi,Red,2444.8,25.5,67.9,379.7,83.72,4162.4
Wheat,Madhya Pradesh,Kharif,Laterite,1204.4,26.2,56.1,235.5,69.15,3331.9
Maize,Uttar Pradesh,Kharif,Alluvial,1278.4,27.7,91.7,341.0,87.04,3466.2
Groundnut,Maharashtra,Zaid,Sandy,1568.4,24.9,80.5,177.8,79.79,3251.6
Sugarcane,Uttar Pradesh,Zaid,Laterite,2463.3,17.7,48.6,85.1,34.98,2783.7
Wheat,Uttar Pradesh,Rabi,Black,831.5,23.4,84.9,285.8,77.55,3083.7
Rice,Karnataka,Zaid,Black,1798.8,32.9,58.1,52.7,26.61,3364.9
Sugarcane,Punjab,Kharif,Black,1875.2,33.0,83.9,216.4,33.19,3266.1
Sugarcane,Karnataka,Rabi,Laterite,1636.1,22.7,83.5,117.5,11.24,3260.6
Rice,Punjab,Kharif,Laterite,494.9,27.4,42.3,269.6,93.54,2918.5
Wheat,Andhra Pradesh,Rabi,Laterite,1789.1,20.2,75.6,392.8,29.45,3404.6
Rice,Andhra Pradesh,Zaid,Alluvial,441.0,20.7,48.9,212.5,52.3,2607.1
Soybean,Madhya Pradesh,Rabi,Alluvial,1611.5,15.6,49.3,336.1,39.44,2996.7
Sugarcane,Punjab,Rabi,Black,1927.1,39.2,49.3,227.7,96.01,3043.5
Cotton,Haryana,Kharif,Red,764.1,20.7,77.2,223.5,33.84,3141.2
Cotton,Bihar,Kharif,Black,2151.6,21.1,44.9,375.6,77.97,4288.5
Maize,Madhya Pradesh,Rabi,Sandy,366.8,22.5,30.1,361.5,85.61,3042.2
Groundnut,Madhya Pradesh,Zaid,Alluvial,2156.4,18.4,76.5,325.0,43.84,3315.0
Rice,Haryana,Zaid,Laterite,1312.7,32.3,41.1,153.7,38.13,3032.5
Rice,Bihar,Kharif,Alluvial,778.7,17.0,36.8,240.8,74.9,2368.7
Maize,Karnataka,Zaid,Laterite,594.3,18.6,45.4,128.4,91.33,2440.5
Maize,Bihar,Kharif,Sandy,2397.3,32.4,54.7,205.4,75.62,3279.8
Maize,Karnataka,Zaid,Sandy,459.9,24.2,60.9,219.5,23.1,3315.8
Sugarcane,Andhra Pradesh,Rabi,Alluvial,738.0,34.1,32.9,341.1,88.89,3230.8
Soybean,Uttar Pradesh,Kharif,Laterite,1065.2,30.1,93.1,363.6,39.06,3256.5
Rice,Andhra Pradesh,Kharif,Sandy,1664.5,21.9,76.5,195.1,57.83,3056.1
Sugarcane,Andhra Pradesh,Rabi,Black,1498.6,32.6,51.0,56.2,83.23,2951.6
Maize,Uttar Pradesh,Kharif,Black,576.4,18.1,50.7,351.6,19.25,3010.9
Rice,Bihar,Zaid,Laterite,937.4,29.5,59.2,111.0,78.56,2564.5
Sugarcane,Madhya Pradesh,Zaid,Alluvial,825.3,26.8,70.7,267.7,59.82,3346.8
Soybean,Bihar,Kharif,Sandy,769.8,22.2,39.5,58.7,89.39,2017.5
Sugarcane,Karnataka,Zaid,Alluvial,1204.5,31.3,42.3,189.8,17.61,3010.6
Soybean,Haryana,Kharif,Black,1848.9,38.5,85.9,395.1,42.36,3653.3
Maize,Karnataka,Rabi,Sandy,778.4,42.0,46.7,85.2,83.37,1578.3
Soybean,Haryana,Kharif,Alluvial,1106.7,31.4,54.7,198.3,2.41,2743.0
Rice,Andhra Pradesh,Rabi,Red,1160.0,25.9,86.6,157.5,11.66,3125.4
Maize,Uttar Pradesh,Zaid,Laterite,2448.2,21.1,73.1,366.8,99.06,3755.2
Rice,Andhra Pradesh,Rabi,Laterite,2400.3,21.9,52.2,354.3,28.4,3944.8
Cotton,Punjab,Zaid,Red,2060.3,27.9,74.4,133.2,97.57,3203.3
Wheat,Bihar,Kharif,Black,831.6,24.9,31.3,78.4,18.66,2420.5
Soybean,Haryana,Zaid,Sandy,449.7,39.7,77.8,269.5,36.43,2001.6
Wheat,Karnataka,Kharif,Laterite,997.2,24.9,61.7,167.7,75.41,2990.5
Wheat,Uttar Pradesh,Kharif,Red,886.9,25.1,82.9,285.2,65.95,3241.7
Soybean,Haryana,Rabi,Red,1413.0,25.4,92.1,61.2,58.32,2721.8
Maize,Karnataka,Rabi,Black,2011.0,37.6,90.2,96.7,53.22,2895.7
Cotton,Bihar,Rabi,Black,2188.3,32.6,89.1,290.2,84.42,3969.1
Rice,Andhra Pradesh,Rabi,Alluvial,2158.7,31.6,63.3,124.3,23.88,3256.9
Sugarcane,Bihar,Zaid,Laterite,1091.3,24.0,53.4,350.2,44.53,3446.6
Rice,Maharashtra,Zaid,Alluvial,1811.9,37.1,60.2,70.5,15.97,2723.8
Sugarcane,Punjab,Zaid,Red,988.2,16.0,74.8,125.4,59.8,1976.8
Rice,Maharashtra,Kharif,Sandy,434.0,38.5,87.5,399.5,25.43,3293.6
Soybean,Uttar Pradesh,Zaid,Sandy,1843.4,28.8,43.5,201.6,33.72,3273.9
Cotton,Haryana,Zaid,Black,321.6,25.8,89.7,296.0,47.39,3243.8
Sugarcane,Uttar Pradesh,Zaid,Sandy,1200.2,28.4,83.0,113.9,3.16,3166.8
Groundnut,Andhra Pradesh,Rabi,Sandy,1024.6,33.0,93.6,263.5,9.65,3195.4
Maize,Karnataka,Zaid,Sandy,1825.4,15.3,87.2,304.1,68.75,3072.7
Rice,Bihar,Kharif,Red,1985.7,38.5,48.2,160.1,43.18,2833.6
Rice,Maharashtra,Rabi,Sandy,969.0,27.1,36.9,340.1,86.55,3060.6
Sugarcane,Madhya Pradesh,Kharif,Sandy,2085.6,24.3,37.3,261.2,69.62,3462.7
Maize,Maharashtra,Zaid,Sandy,946.6,18.7,48.9,186.2,1.31,2439.0
Maize,Andhra Pradesh,Rabi,Alluvial,1281.9,26.9,69.9,245.2,61.86,3236.7
Soybean,Maharashtra,Kharif,Red,1899.4,28.4,82.3,251.9,9.83,3374.7
Groundnut,Andhra Pradesh,Zaid,Black,1824.4,25.9,88.5,107.9,78.2,3468.2
Soybean,Madhya Pradesh,Kharif,Alluvial,2472.2,33.3,70.5,191.0,99.16,3856.6
Soybean,Uttar Pradesh,Kharif,Laterite,795.4,26.4,30.4,170.2,53.35,3017.0
Soybean,Bihar,Kharif,Red,1757.1,41.0,42.1,190.3,68.44,2719.5
Soybean,Haryana,Zaid,Red,1641.3,31.2,36.5,316.4,24.11,3437.4
Soybean,Karnataka,Zaid,Laterite,2313.2,36.8,53.6,218.9,44.04,3118.7
Cotton,Haryana,Kharif,Laterite,644.0,18.0,62.6,379.1,85.68,2732.7
Maize,Uttar Pradesh,Rabi,Laterite,1954.0,25.7,32.8,152.8,17.16,3365.0
Soybean,Karnataka,Rabi,Black,1550.2,24.1,52.7,195.5,26.92,3235.9
Maize,Maharashtra,Zaid,Sandy,904.3,30.4,41.6,325.4,44.82,3256.6
Maize,Madhya Pradesh,Zaid,Red,1343.8,38.3,72.1,241.1,71.37,3090.2
Wheat,Madhya Pradesh,Zaid,Sandy,1034.3,17.1,60.2,241.5,37.9,2686.5
Cotton,Punjab,Zaid,Sandy,1574.5,17.0,62.2,68.7,92.81,2210.9
Soybean,Uttar Pradesh,Zaid,Laterite,2255.8,38.0,57.8,189.5,9.9,2917.4
Rice,Uttar Pradesh,Rabi,Black,1552.5,20.7,92.1,144.8,37.4,3132.7
Sugarcane,Bihar,Zaid,Alluvial,1689.8,33.1,44.0,399.8,71.04,3887.7
Groundnut,Haryana,Kharif,Black,1441.2,29.7,63.6,157.9,22.99,3258.7
Rice,Uttar Pradesh,Kharif,Sandy,412.6,37.5,77.8,359.6,65.81,3226.7
Cotton,Uttar Pradesh,Rabi,Black,812.3,18.4,66.2,286.7,16.84,3104.2
Sugarcane,Maharashtra,Kharif,Laterite,1382.4,18.5,90.4,169.3,6.07,2884.8
Cotton,Maharashtra,Rabi,Alluvial,982.5,30.0,54.6,240.2,12.54,2968.9
Maize,Karnataka,Rabi,Laterite,699.9,40.6,60.1,344.2,93.03,2271.0
Sugarcane,Andhra Pradesh,Kharif,Alluvial,1409.1,26.2,35.8,359.2,55.4,3475.3
Maize,Andhra Pradesh,Zaid,Sandy,1010.2,23.8,69.6,106.1,79.74,2941.8
Rice,Punjab,Kharif,Alluvial,867.8,31.4,48.7,168.9,33.6,3223.6
Rice,Andhra Pradesh,Kharif,Alluvial,1320.8,40.1,40.4,167.3,59.47,2416.6
Sugarcane,Bihar,Rabi,Alluvial,593.2,37.6,65.4,64.7,49.75,2368.5
Sugarcane,Punjab,Kharif,Black,2341.0,41.9,64.6,259.4,94.6,2766.6
Soybean,Karnataka,Rabi,Black,2208.9,15.6,34.9,349.2,74.88,3218.3
Cotton,Maharashtra,Zaid,Sandy,1856.8,18.0,75.4,183.6,73.19,3097.1
Soybean,Andhra Pradesh,Zaid,Alluvial,533.7,31.5,70.5,309.0,5.11,2742.0
Cotton,Haryana,Zaid,Red,2006.9,37.2,42.3,269.7,55.19,3102.1
Soybean,Maharashtra,Kharif,Sandy,2077.5,22.7,60.5,181.5,46.97,3515.8
Maize,Madhya Pradesh,Rabi,Alluvial,1989.1,21.5,76.8,99.4,92.82,3115.5
Sugarcane,Bihar,Zaid,Alluvial,550.7,36.2,64.4,298.3,26.11,2579.7
Rice,Maharashtra,Rabi,Black,1716.6,16.5,55.7,349.1,27.35,2581.8
Cotton,Bihar,Rabi,Sandy,2135.5,25.0,51.0,290.0,41.43,3613.2
Cotton,Bihar,Zaid,Alluvial,1570.2,28.7,69.7,56.3,24.72,2961.3
Rice,Bihar,Zaid,Alluvial,1722.1,30.1,91.0,125.7,13.35,3076.7
Soybean,Karnataka,Rabi,Sandy,1308.4,34.7,73.7,74.3,85.81,2736.1
Cotton,Bihar,Zaid,Red,1463.2,24.6,34.9,249.6,56.05,3356.7
Groundnut,Bihar,Rabi,Sandy,375.6,31.5,59.9,314.8,86.21,3188.4
Maize,Madhya Pradesh,Rabi,Sandy,1705.7,30.8,87.9,88.7,83.2,2657.2
Sugarcane,Haryana,Zaid,Red,479.2,29.8,36.1,343.4,28.56,2879.8
Rice,Punjab,Kharif,Sandy,1257.0,32.3,94.3,244.4,55.0,3243.6
Sugarcane,Uttar Pradesh,Zaid,Alluvial,943.8,22.0,91.7,291.5,8.78,3316.1
Groundnut,Madhya Pradesh,Kharif,Sandy,1499.9,17.3,35.1,390.0,91.57,3204.1
Cotton,Punjab,Rabi,Red,593.5,18.2,90.7,79.3,40.72,2323.8
Cotton,Bihar,Rabi,Laterite,1821.6,21.1,53.6,365.4,39.67,3485.8
Groundnut,Haryana,Kharif,Sandy,2049.0,28.5,84.9,94.1,30.62,3242.9
Rice,Maharashtra,Rabi,Black,659.4,37.7,57.2,187.5,46.34,2288.8
Maize,Haryana,Kharif,Alluvial,529.5,33.9,58.7,348.0,25.55,3235.3
Wheat,Madhya Pradesh,Kharif,Alluvial,620.1,36.3,71.2,367.2,37.8,2850.8
Rice,Bihar,Rabi,Black,2229.7,24.5,80.3,227.2,80.09,3808.9
Wheat,Haryana,Kharif,Black,1462.0,25.9,32.2,257.9,83.51,3346.3
Groundnut,Andhra Pradesh,Zaid,Sandy,1328.0,25.6,68.6,297.9,30.77,3444.4
Soybean,Haryana,Zaid,Black,534.8,20.2,42.1,341.5,47.17,2756.9
Wheat,Bihar,Rabi,Laterite,1729.0,16.7,52.5,92.5,87.45,2165.5
Maize,Karnataka,Rabi,Red,2209.6,31.0,52.6,333.5,5.74,3702.3
Soybean,Andhra Pradesh,Kharif,Black,2122.0,41.7,60.5,218.4,88.97,2570.7
Wheat,Haryana,Kharif,Black,1677.3,19.5,51.7,207.7,22.31,2510.7
Groundnut,Uttar Pradesh,Kharif,Laterite,465.6,16.3,37.0,198.4,68.01,2064.5
Soybean,Uttar Pradesh,Kharif,Alluvial,547.3,36.0,39.5,228.2,58.46,2768.9
Groundnut,Haryana,Zaid,Alluvial,408.5,21.8,32.2,380.8,55.52,3134.3
Wheat,Karnataka,Zaid,Sandy,866.5,37.4,60.6,241.9,86.01,2591.9
Groundnut,Maharashtra,Rabi,Laterite,598.5,34.0,92.0,383.6,10.61,3303.5
Maize,Bihar,Kharif,Red,872.1,40.5,37.5,113.1,35.03,1847.5
Wheat,Uttar Pradesh,Kharif,Red,1147.1,26.0,91.5,303.4,54.06,3502.6
Wheat,Maharashtra,Rabi,Laterite,2374.6,32.9,77.7,334.3,81.22,4207.8
Wheat,Haryana,Kharif,Red,1642.8,27.6,71.4,287.7,22.04,3783.4
Rice,Madhya Pradesh,Kharif,Alluvial,2136.9,32.0,71.9,262.4,80.39,3749.8
Rice,Maharashtra,Kharif,Red,1862.8,27.1,83.7,247.7,40.26,3513.3
Rice,Andhra Pradesh,Kharif,Red,547.5,20.1,36.9,351.3,19.3,3045.6
Maize,Punjab,Kharif,Laterite,1919.0,28.7,62.8,337.6,76.02,3460.1
Soybean,Uttar Pradesh,Rabi,Laterite,905.2,29.3,75.3,92.8,9.54,2761.5
Groundnut,Haryana,Kharif,Red,1706.0,36.9,68.1,347.0,51.72,3476.3
Cotton,Madhya Pradesh,Rabi,Black,1050.1,34.9,84.1,194.9,6.86,3072.6
Wheat,Bihar,Kharif,Laterite,2494.9,32.9,34.7,138.8,35.96,3461.9
Groundnut,Madhya Pradesh,Zaid,Sandy,879.8,18.1,74.9,354.4,60.31,3027.8
Wheat,Karnataka,Zaid,Sandy,914.1,34.5,64.7,201.2,55.83,2815.2
Maize,Andhra Pradesh,Zaid,Alluvial,2347.5,28.5,54.6,332.9,40.76,4041.6
Wheat,Haryana,Zaid,Red,354.2,39.1,52.1,142.2,43.19,1842.4
Rice,Bihar,Rabi,Black,1832.7,39.8,70.4,51.4,23.06,2203.1
Cotton,Karnataka,Rabi,Alluvial,1895.7,16.5,87.9,223.4,45.86,2930.4
Sugarcane,Karnataka,Kharif,Red,2140.0,37.2,62.3,85.1,95.35,2870.8
Wheat,Haryana,Zaid,Laterite,2443.8,16.0,83.6,314.0,85.12,2930.4
Groundnut,Andhra Pradesh,Rabi,Sandy,2446.3,24.9,56.1,146.6,14.95,3556.9
Rice,Maharashtra,Kharif,Black,443.6,29.6,36.7,205.3,3.46,2941.7
Sugarcane,Maharashtra,Kharif,Sandy,2108.0,19.0,34.0,80.5,93.39,2725.8
Cotton,Karnataka,Rabi,Laterite,1721.9,35.2,33.3,150.3,52.91,3383.8
Sugarcane,Maharashtra,Zaid,Red,1724.2,15.2,54.7,323.5,54.01,2710.1
Rice,Punjab,Kharif,Laterite,582.4,19.6,51.9,103.1,78.18,2217.3
Soybean,Karnataka,Zaid,Laterite,1730.4,30.7,76.7,276.5,31.81,3498.5
Soybean,Karnataka,Zaid,Sandy,2461.5,34.3,78.3,371.1,48.45,3934.2
Sugarcane,Bihar,Zaid,Black,2306.0,39.7,33.3,287.9,96.88,2986.2
Maize,Maharashtra,Kharif,Laterite,1266.1,34.0,44.4,333.9,67.38,3009.9
Groundnut,Andhra Pradesh,Zaid,Sandy,387.9,33.1,47.8,88.1,15.8,2277.7
Groundnut,Karnataka,Kharif,Black,1097.0,25.6,65.6,137.8,13.76,2932.8
Sugarcane,Madhya Pradesh,Zaid,Red,2118.1,15.0,39.4,363.1,20.82,3278.3
Wheat,Andhra Pradesh,Kharif,Red,1843.3,18.2,38.7,300.3,76.79,3568.7
Wheat,Punjab,Zaid,Alluvial,1310.6,29.4,91.3,273.8,29.89,3739.7
Groundnut,Bihar,Rabi,Sandy,421.2,33.2,82.3,282.3,2.63,2829.3
Groundnut,Haryana,Zaid,Black,1239.2,26.3,41.7,195.0,94.45,2954.2
Soybean,Andhra Pradesh,Zaid,Laterite,1331.9,34.7,56.4,65.6,17.39,2607.8
Maize,Karnataka,Kharif,Red,2342.8,29.1,53.1,324.6,1.45,4258.8
Rice,Punjab,Kharif,Black,1710.4,17.0,81.4,287.5,24.09,3009.5
Wheat,Uttar Pradesh,Zaid,Sandy,985.6,20.2,63.2,215.5,23.89,2551.5
Groundnut,Punjab,Rabi,Alluvial,1455.7,37.7,38.3,364.9,42.49,3040.8
Soybean,Punjab,Rabi,Red,445.3,34.6,78.0,167.7,92.08,2766.8
Cotton,Bihar,Kharif,Black,2439.7,39.2,55.8,153.0,87.98,3041.2
Soybean,Haryana,Rabi,Black,1092.1,18.2,47.1,355.5,45.96,2944.0
Wheat,Uttar Pradesh,Zaid,Black,1351.3,41.7,54.4,328.9,41.38,2719.4
Wheat,Maharashtra,Kharif,Sandy,1081.6,20.7,62.4,230.2,55.72,2470.9
Soybean,Maharashtra,Zaid,Sandy,1801.5,15.3,52.3,95.8,24.72,2333.5
Rice,Andhra Pradesh,Kharif,Sandy,1756.9,41.9,45.7,125.3,5.69,2355.0
Sugarcane,Punjab,Kharif,Laterite,1873.7,22.6,55.9,279.7,93.95,3303.4
Wheat,Madhya Pradesh,Kharif,Black,889.9,33.0,31.2,184.8,19.08,2617.5
Soybean,Bihar,Kharif,Red,994.5,19.8,80.2,342.8,20.24,2783.4
Groundnut,Madhya Pradesh,Rabi,Sandy,575.6,30.7,41.1,382.5,47.51,3592.2
Soybean,Bihar,Zaid,Sandy,1742.1,39.4,32.9,332.0,49.42,2830.5
Maize,Maharashtra,Zaid,Black,387.6,23.6,72.5,182.1,2.33,2781.2
Sugarcane,Andhra Pradesh,Zaid,Sandy,1614.9,33.1,80.3,326.0,15.22,3692.9
Cotton,Andhra Pradesh,Kharif,Laterite,2213.3,20.1,82.9,173.0,38.13,3554.8
Rice,Andhra Pradesh,Rabi,Laterite,2259.8,31.9,62.1,108.5,68.53,3255.7
Cotton,Uttar Pradesh,Zaid,Sandy,1287.9,24.1,43.3,61.7,23.23,2614.9
Sugarcane,Haryana,Rabi,Black,1310.5,20.7,77.9,185.0,42.59,2988.8
Sugarcane,Uttar Pradesh,Kharif,Black,469.3,23.5,75.5,366.2,55.96,3483.4
Sugarcane,Karnataka,Zaid,Black,1775.7,19.8,46.0,133.6,88.91,2814.5
Cotton,Karnataka,Rabi,Alluvial,2106.8,39.4,88.7,122.3,32.94,2579.3
Groundnut,Madhya Pradesh,Kharif,Sandy,838.2,25.7,36.8,389.4,13.79,3085.2
Sugarcane,Haryana,Rabi,Black,1226.9,21.6,93.9,58.8,49.18,2471.6
Soybean,Maharashtra,Zaid,Laterite,2145.4,27.1,85.9,325.0,74.8,4097.4
Cotton,Haryana,Zaid,Red,2229.7,23.7,74.7,162.5,11.43,3363.7
Sugarcane,Bihar,Kharif,Red,835.0,35.1,91.0,63.1,42.76,2391.4
Soybean,Karnataka,Kharif,Black,1511.3,41.2,77.0,371.2,2.27,2746.0
Groundnut,Punjab,Kharif,Red,723.5,26.8,42.4,98.9,3.84,2673.8
Maize,Punjab,Rabi,Red,524.1,38.2,58.7,243.1,48.55,2420.7
Groundnut,Maharashtra,Rabi,Alluvial,2304.5,30.3,34.6,145.9,30.17,3309.9
Sugarcane,Bihar,Rabi,Laterite,2105.1,19.2,55.3,72.8,84.59,3076.7
Cotton,Madhya Pradesh,Kharif,Laterite,1972.1,33.6,78.2,67.5,60.41,3340.3
Wheat,Uttar Pradesh,Zaid,Alluvial,407.3,28.9,55.1,90.4,45.67,2228.7
Sugarcane,Bihar,Zaid,Alluvial,2156.2,32.6,51.5,75.0,41.09,3165.6
Wheat,Punjab,Rabi,Red,1263.7,39.0,68.7,316.2,49.98,2739.3
Soybean,Punjab,Rabi,Sandy,1053.3,26.9,86.7,219.9,4.52,3175.5
Maize,Madhya Pradesh,Zaid,Red,1502.2,39.3,33.1,170.0,89.33,2545.0
Rice,Karnataka,Zaid,Alluvial,501.0,35.3,55.1,196.4,99.83,2550.0
Groundnut,Bihar,Rabi,Laterite,1964.6,28.2,40.3,375.1,18.56,3890.4
Maize,Bihar,Rabi,Red,1581.4,31.3,75.2,368.8,12.48,3860.6
Sugarcane,Punjab,Zaid,Sandy,710.5,23.8,36.9,300.5,14.79,3116.4
Wheat,Uttar Pradesh,Kharif,Red,714.1,41.6,73.2,359.6,66.27,2356.0
Groundnut,Maharashtra,Rabi,Black,705.3,33.0,48.6,161.9,66.31,2580.9
Wheat,Andhra Pradesh,Zaid,Red,425.4,16.2,42.9,183.4,84.87,1771.4
Cotton,Maharashtra,Zaid,Alluvial,1593.2,23.8,90.9,264.8,75.31,3313.7
Wheat,Bihar,Zaid,Laterite,2148.8,31.8,31.2,268.3,45.24,3942.9
Cotton,Maharashtra,Zaid,Laterite,338.5,16.5,58.5,218.6,61.48,2040.0
Soybean,Punjab,Kharif,Alluvial,407.8,15.6,31.4,190.2,68.98,1731.0
Groundnut,Punjab,Zaid,Black,1560.1,27.2,61.4,395.2,51.52,3856.6
Groundnut,Madhya Pradesh,Rabi,Alluvial,2102.9,24.0,62.6,337.4,47.83,3769.6
Rice,Bihar,Kharif,Red,1018.8,26.8,50.9,202.2,64.69,3019.9
Sugarcane,Madhya Pradesh,Zaid,Alluvial,1069.2,22.1,38.6,304.6,55.97,3412.1
Cotton,Bihar,Kharif,Alluvial,1612.0,19.4,54.5,144.3,64.57,2913.1
Rice,Andhra Pradesh,Rabi,Black,903.3,33.6,73.7,85.1,61.48,2531.9
Wheat,Andhra Pradesh,Zaid,Red,358.5,28.9,80.9,173.4,72.06,2730.5
Wheat,Karnataka,Rabi,Sandy,1917.5,20.4,64.5,191.0,64.46,3049.1
Rice,Bihar,Zaid,Sandy,1676.4,23.6,68.3,55.8,52.21,3094.5
Groundnut,Uttar Pradesh,Zaid,Laterite,1577.7,31.0,43.0,335.2,68.34,3492.1
Wheat,Maharashtra,Zaid,Alluvial,1931.7,17.0,48.7,175.7,45.22,2388.9
Soybean,Bihar,Zaid,Laterite,1785.5,19.0,40.5,253.1,24.55,3052.3
Soybean,Haryana,Zaid,Black,752.9,17.0,46.2,75.9,0.64,1714.6
Rice,Karnataka,Kharif,Sandy,1075.5,36.9,44.6,111.2,56.22,2880.1
Cotton,Haryana,Zaid,Alluvial,577.4,35.3,63.8,361.4,59.27,2865.1
Cotton,Punjab,Zaid,Black,585.7,35.3,66.6,263.0,97.22,2789.9
Rice,Andhra Pradesh,Kharif,Black,1787.6,34.3,91.4,382.6,36.47,3796.4
Cotton,Maharashtra,Kharif,Alluvial,2188.9,33.1,42.7,399.6,39.72,3816.2
Groundnut,Bihar,Kharif,Black,2418.0,27.9,71.7,180.2,20.58,3574.6
Groundnut,Haryana,Kharif,Alluvial,1682.4,32.3,83.1,154.6,7.52,3298.9
Cotton,Maharashtra,Kharif,Alluvial,705.0,16.0,66.4,350.4,77.39,2946.8
Soybean,Punjab,Kharif,Red,532.4,31.8,46.6,399.5,25.34,3433.6
Cotton,Andhra Pradesh,Zaid,Laterite,2088.3,36.0,47.1,270.4,61.09,3627.9
Groundnut,Uttar Pradesh,Zaid,Black,1573.3,28.5,32.6,328.3,68.93,3337.1
Maize,Karnataka,Rabi,Black,1660.2,24.7,49.9,323.6,47.39,3630.1
Sugarcane,Maharashtra,Zaid,Red,2019.2,22.5,78.4,174.4,87.7,3358.1
Wheat,Maharashtra,Zaid,Red,1847.2,32.4,33.1,251.0,44.66,3441.0
Maize,Uttar Pradesh,Kharif,Red,2135.8,33.7,44.3,341.6,28.85,3953.5
Cotton,Maharashtra,Kharif,Sandy,423.7,38.5,75.9,290.8,89.65,2527.2
Soybean,Punjab,Zaid,Sandy,1944.5,24.2,80.9,57.4,86.23,3012.3
Rice,Punjab,Rabi,Sandy,2171.9,35.8,59.6,167.8,16.82,3271.0
Cotton,Uttar Pradesh,Kharif,Alluvial,929.5,30.2,75.4,100.6,3.08,2470.4
Soybean,Karnataka,Zaid,Black,1709.0,38.8,55.2,131.5,9.45,2543.6
Sugarcane,Bihar,Zaid,Laterite,991.2,29.3,40.4,366.9,29.01,3400.3
Cotton,Haryana,Rabi,Alluvial,2407.5,29.0,55.9,62.9,97.24,3099.1
Groundnut,Bihar,Rabi,Black,373.5,30.6,67.7,126.9,56.07,2847.4
Rice,Maharashtra,Kharif,Black,1575.5,35.2,91.6,158.3,37.64,2827.0
Soybean,Haryana,Rabi,Red,666.3,41.0,34.5,265.9,88.93,2156.5
Soybean,Madhya Pradesh,Zaid,Red,1866.9,17.0,63.0,236.9,45.59,2980.1
Soybean,Uttar Pradesh,Zaid,Alluvial,687.0,16.4,51.4,126.4,31.87,2347.7
Sugarcane,Uttar Pradesh,Rabi,Red,817.8,40.3,63.0,107.5,94.15,2024.7
Cotton,Karnataka,Rabi,Black,1387.6,29.3,31.6,132.9,85.03,3160.6
Sugarcane,Haryana,Rabi,Red,2312.6,31.6,50.3,225.9,84.45,3716.0
Wheat,Punjab,Rabi,Sandy,765.8,28.0,83.3,144.9,51.47,2943.2
Wheat,Haryana,Kharif,Red,617.3,17.5,66.0,381.7,79.05,2633.0
Cotton,Maharashtra,Rabi,Black,1969.7,35.7,59.3,212.4,18.35,2910.3
Groundnut,Punjab,Kharif,Alluvial,1401.4,35.2,48.6,70.6,57.54,2646.6
Sugarcane,Andhra Pradesh,Zaid,Laterite,2305.9,23.4,49.4,305.2,98.39,3620.0
